
      0.32929       1.8083      0.65691      0.70872     -0.54083
      0.32270       1.5878      0.68879      0.78631     -0.65830
      0.31613       1.8640      0.66828      0.62784     -0.37894
      0.31274       1.4389      0.77201      0.74583     -0.60314
      0.30507       1.9838      0.59730      0.62776     -0.27942
      0.35431       1.6855      0.70472      0.72648     -0.61436
      0.31389       1.7340      0.67838      0.75278     -0.66316
      0.30324       1.6786      0.68666      0.77663     -0.70503
      0.28887       1.4828      0.75470      0.68931     -0.45930
      0.28889       1.5140      0.72267      0.69564     -0.43391
      0.29266       2.2183      0.54640      0.70511     -0.59418
      0.34005       1.8663      0.64911      0.75892     -0.69500
      0.32132       1.6407      0.73041      0.63156     -0.35892
      0.31480       1.8498      0.66751      0.70082     -0.55831
      0.31821       1.5648      0.71622      0.70408     -0.46303
      0.29515       1.9802      0.61680      0.66832     -0.42870
      0.31550       1.8062      0.63743      0.74330     -0.62042
      0.28923       2.1277      0.56855      0.71992     -0.59215
      0.29101       1.5801      0.70917      0.68179     -0.42806
      0.31750       2.1677      0.53899      0.68494     -0.47102
      0.32584       2.0530      0.60796      0.63400     -0.38834
      0.30649       1.7321      0.69508      0.69673     -0.53183
      0.31129       2.1386      0.58473      0.68914     -0.55013
      0.30529       1.6724      0.69942      0.70149     -0.48779
      0.30695       2.2115      0.57345      0.60764     -0.34307
      0.34371       1.7969      0.68133      0.73711     -0.63491
      0.30256       1.5034      0.76235      0.73315     -0.60911
      0.28823       2.0247      0.58316      0.64986     -0.35922
      0.31885       1.6271      0.72963      0.61945     -0.27484
      0.32977       1.4778      0.73586      0.75900     -0.64164
      0.34814       1.9341      0.64279      0.63733     -0.41345
      0.34478       1.6777      0.68631      0.73654     -0.58623
      0.32577       1.2952      0.81024      0.71307     -0.53459
      0.30741       1.7636      0.67725      0.67797     -0.44114
      0.28441       1.7015      0.70883      0.67608     -0.47118
      0.32996       1.7699      0.66467      0.71850     -0.52439
      0.31409       1.7041      0.68513      0.69846     -0.49507
      0.29889       1.5690      0.70695      0.75975     -0.64046
      0.29774       2.1103      0.55687      0.70020     -0.51957
      0.30023       1.7451      0.69662      0.70628     -0.55497
      0.31454       1.6561      0.68802      0.74361     -0.63415
      0.33805       1.9948      0.58790      0.70365     -0.50056
      0.28100       1.4822      0.74625      0.71649     -0.53224
      0.29893       2.1812      0.57677      0.65350     -0.46205
      0.31478       2.1115      0.60176      0.64093     -0.43288
      0.31271       2.0900      0.56851      0.71650     -0.57293
      0.30835       2.0815      0.59349      0.65599     -0.44494
      0.30287       1.5798      0.71061      0.75749     -0.62430
      0.28398       1.8464      0.65142      0.68862     -0.46273
      0.31947       1.4636      0.75714      0.70386     -0.51811
      0.35974       1.6155      0.71589      0.76369     -0.68298
      0.33287       1.9408      0.61852      0.75723     -0.66714
      0.30310       1.9641      0.65339      0.71134     -0.63507
      0.33653       1.9192      0.61636      0.73997     -0.58723
      0.30904       1.9861      0.62328      0.67146     -0.46788
      0.34453       1.2421      0.76724      0.81785     -0.69200
      0.29804       1.0573      0.85034      0.82680     -0.78327
      0.34355       1.5885      0.73199      0.72030     -0.54483
      0.32765       1.2829      0.77421      0.86795     -0.88213
      0.27701       1.9233      0.63870      0.66572     -0.46610
      0.28979       1.7468      0.67778      0.66761     -0.40165
      0.33012       1.5569      0.70713      0.79621     -0.74147
      0.34443       1.6382      0.70673      0.74113     -0.60583
      0.30554       2.0904      0.58769      0.67835     -0.47397
      0.30365       1.7911      0.66444      0.76536     -0.73332
      0.32709       1.6546      0.74686      0.66303     -0.44104
      0.29250       1.4215      0.73182      0.80154     -0.71646
      0.30142       1.9986      0.64097      0.71520     -0.64183
      0.32748       1.6935      0.66661      0.78431     -0.66925
      0.30556       1.7604      0.66552      0.76360     -0.65971
      0.30943       2.2181      0.52884      0.68609     -0.51727
      0.30528       2.1588      0.57825      0.59094     -0.30517
      0.28529       2.1419      0.55795      0.71885     -0.58734
      0.31567       1.7903      0.70272      0.61641     -0.34841
      0.32157       1.5478      0.70171      0.79837     -0.71120
      0.31356       1.7072      0.67914      0.68353     -0.46427
      0.31218       2.2522      0.57080      0.60726     -0.37436
      0.31881       1.7970      0.68614      0.65493     -0.42346
      0.31422       1.3358      0.76103      0.77331     -0.64642
      0.33094       1.4213      0.78157      0.69650     -0.52713
      0.32380       2.3924      0.53338      0.58921     -0.32981
      0.34948       1.5804      0.71083      0.77298     -0.68661
      0.29580       1.8428      0.63728      0.74980     -0.66823
      0.32340       1.8395      0.65577      0.68113     -0.44320
      0.31369       1.6675      0.74670      0.68882     -0.54675
      0.31933       1.8270      0.66499      0.68349     -0.49375
      0.31168       1.7895      0.66287      0.77140     -0.71835
      0.30415       2.1582      0.53532      0.77185     -0.73850
      0.32429       2.0949      0.56169      0.74225     -0.65143
      0.31533       1.6869      0.68172      0.73056     -0.56001
      0.31294       1.8564      0.64650      0.72696     -0.62610
      0.27911       1.8842      0.62356      0.70972     -0.53223
      0.31663       1.9169      0.64402      0.75291     -0.68114
      0.31551       1.8932      0.64829      0.70991     -0.58328
      0.33008       1.8018      0.68763      0.65485     -0.41359
      0.31177       1.8293      0.66902      0.69927     -0.50135
      0.33576       1.9400      0.63973      0.73023     -0.65459
      0.31680       2.1031      0.59968      0.64666     -0.48153
      0.30402       1.8741      0.63356      0.71668     -0.54602
      0.30336       1.5852      0.71217      0.76061     -0.65366
      0.31190       1.3308      0.80358      0.74196     -0.60743
      0.30591       1.6721      0.70753      0.66858     -0.41134
      0.33226       1.5880      0.71643      0.71534     -0.54781
      0.31320       2.0824      0.61894      0.61844     -0.36610
      0.34885       1.9247      0.65784      0.65843     -0.48910
      0.27442       2.1961      0.58431      0.62527     -0.39812
      0.31024       1.5168      0.74243      0.70508     -0.50121
      0.31005       1.7683      0.67939      0.74755     -0.65581
      0.30556       1.5629      0.73268      0.73048     -0.59460
      0.33870       1.7682      0.68255      0.61775     -0.31419
      0.34663       1.2840      0.79384      0.74283     -0.53171
      0.33389       1.8725      0.64423      0.72684     -0.57930
      0.31598       1.4125      0.77098      0.72933     -0.56884
      0.31762       2.0597      0.58544      0.65629     -0.40816
      0.32049       1.5330      0.75076      0.69232     -0.50999
      0.30819       1.7638      0.66389      0.73638     -0.54890
      0.32956       1.5005      0.76565      0.78230     -0.74637
      0.34508       1.8332      0.70176      0.65933     -0.48109
      0.32473       2.0702      0.58095      0.68786     -0.42650
      0.30813       2.2591      0.56220      0.70059     -0.59670
      0.30853       2.0157      0.60526      0.69361     -0.53299
      0.34099       1.8855      0.64376      0.73952     -0.66779
      0.29036       1.6631      0.71067      0.76066     -0.72046
      0.32050       1.6419      0.69414      0.78204     -0.72127
      0.29756       1.5985      0.72944      0.66854     -0.40691
      0.30774       1.7227      0.67462      0.73569     -0.60701
      0.32092       1.7222      0.66997      0.77689     -0.70721
      0.32575       1.8575      0.63586      0.74063     -0.62767
